NOMBRE DEL TALLER,CIUDAD BASE,DIRECCION,LINEAS QUE MANEJAN,COBERTURA INST AA Y LINEA BLANCA,CORREOS ELECTRONICOS,NUMEROS DE CONTACTO,LAT_VIZ,LON_VIZ
TALLER DEL SALTO,MANTA,AV 6 ENTRE CALLES 9 Y 10,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","Manabí, manta, Jaramijó, Montecristi.",tallerdelsalto@hotmail.com,0994406002,-0.9413165892652855,-80.71455860120345
SERVICIO TECNICO PURO FRIO,MILAGRO,CIUDADELA. LA ESPERANZA CALLE OSWALDO HURTA Y EDMUNDO CARDENAS,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA, NERAS, COCINAS","YAGUACHI,TRES POSTE,JUJAN,MILAGRO,MARISCAL SUCRE,SIMON BOLIVAR,LORENZO DE GARAICOA,ROBERTO ASTUDILLO,SAN CARLOS,NARANJITO,MATILDE ESTER BUCAY,CUMANDA,TRIUNFO,LA TRONCAL,CONCHANCAI Y PUERTO INCA.",servicio.purofrio2021@gmail.com                  caroare19902024@gmail.com,0990510831           0989696652,-2.1352797406376003,-79.59974561918557
SERVICIO TÉCNICO CASA FRIA,PASAJE,JHON F KENNEDY ENTRE OLMEDO Y PRIMERO DE NOVIEMBRE,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA,","Toda la provincia de El Oro con ciertas restricciones a los sectores de alto riesgo, por Azuay visitamos Ponce Enríquez y por Guayas visitamos Balao y Tenguel las zonas visitadas en guayas y Azuay son solo urbanas nada de recintos, ni fincas",casafriajf@gmail.com / ajachog@gmail.com,0967432580,-3.3211295039272564,-79.81618573464434
ELECTRONICA 3D,PORTOVIEJO,FRANCISCO DE PAULA MOREIRA Y AV MANABI FRENTE ESCUELA HORACIO HIDROVO VELASQUEZ,TVS,SIN COBERTURA,mercedezig@gmail.com - mnl.mendoza@gmail.com,0968485502 - 0985604889,-1.0584733646331212,-80.45848159044526
SERMATEC PORTOVIEJO,Portoviejo,Rocafuerte y Quiroga,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","Manabi: Portoviejo, Rocafuerte, Tosagua, Chone, Sucre, San Vicente, Jipijapa, Bolívar, Santa Ana, 24 de Mayo, Olmedo",sermatec2010@hotmail.com,0993549420,-1.062652983604793,-80.46077309223881
TECNIRIOS-ASC,QUEVEDO,"Calle 14ava y Av. June Guzmán (frente a Coop. JEP, antes llegar al Tutti)","TVS, DISPENSADORES DE AGUA, SISTEMAS DE AUDIO/VIDEO",SIN COBERTURA,tecnirios-asc@hotmail.com; m_toaquiza@hotmail.com,0999221879; 0990426925,-1.0231592073355615,-79.46796995633272
Tecnicservice,Quevedo,Ruta del río frente al parque calle 38 y calle S,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","Quevedo, cantones aledaños con costo adicional de movilización dependiendo el kilometraje mocache, el empalme,la mana, valencia,quinsaloma,san Carlos, ventanas, buenafe,",tecnicservice.ec@hotmail.com,0989078967-0991061191-0981654082,-1.0123163840907154,-79.4650008665072
Servifrio,Quevedo,Décima octava y atahualpa,INSTALACION DE AIRES,Cotopaxi la mana km30 ida y vuelta 60  Guayas el empalme 60km Manabi pichincha 100k Los ríos quinsaloma 100km Los ríos buenas fe 30km Los ríos sacarlos 30km Valencia los ríos 40km,servifrio@ymail.com Cerveceria2015ervifrio@outlook.com,0997949393 /0985142244,-1.0140733787314538,-79.47174667955802
MEGASERVICE,QUITO,AV GUALBERTO PEREZ E 2-342 FRANCISCO HALL,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","PICHINCHA QUITO, PUERTO QUITO, CAYAMBE, VALLES, POMASQUI, MITAD DEL MUNDO, MACHACHI.AMAGUAÑA TABACUNDO,ETC",servitecmegaservice@gmail.com,0978928040 0999005438,-0.17859140592002407,-78.45808092160809
SERMATEC ELECTRONICA,QUITO,AV. NAPO S6-288 Y UPANO,"TVS, LINEA BLANCA, AUDIO CAJAS AMPLIFICADAS Y BARRAS DE SONIDO","PICHINCHA, QUITO  AL NORTE HASTA SAN ANTONIO DE PICHINCHA, AL SUR HASTA TAMBILLO, AL ORIENTE HASTA PIFO, VALLE DE LOS CHILLOS HASTA SANGOLQUI",gamaguam@gmail.com linea MARRON ENCARGADO GABRIELA AMAGUA veroamagua@gmail.com LINEA BLANCA ENCARGADO VERONICA AMAGUA sermatec@accessinter.net LINEA BLANCA,0985706276- 0999706164- 3131336 LINEA MARRON 0995023306- 3131265 LINEA BLANCA,-0.18431431617382754,-78.46697413593057
MASTERTECH,QUITO,PASCUAL DE ANDAGOYA OE3-104 Y ANTONIO DE ULLOA,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA, CALEFONES",PICHINCHA - QUITO - VALLE DE LOS CHILLOS - CUMBAYA - GUALLABAMBA 30KM,mastertechquito@gmail.com - mastertechuio@gmail.com,0998260143 - 0999219043,-0.18063949318810632,-78.46438062529887
GAMA ELECTRONICS,RIOBAMBA,PRIMERA CONSTITUYENTE Y GARCIA MORENO COMO REFERENCIA AL FONDO DEL EDIFICIO DEL BANCO GUAYAQUIL,"TVS, LINEA BLANCA, DISPENSADORES DE AGUA",LA PROVINCIA DE CHIMBORAZO Y LOS CANTONES COLTA CHAMBO CHUNCHI ALAUSI GUAMOTE GUANO PALLATANGA PENIPE CUMANDA,gamaelectronics@hotmail.es  jdanielandrade80@hotmail.com,0994215004   /  0997757333,-1.6609543156771307,-78.65769534434887
CSTE ELECTRONICA,GUANO,SAN GERARDO EL ROSAL CALLE MARCILLO,"TVS, LINEA BLANCA, DISPENSADORES DE AGUA, Calefones",Provincia del Chimborazo y Bolívar,williampaca0602@gmail.com william_paca@hotmail.com,0982868384    2368280,-1.620610190589769,-78.62503641617677
SERVICECOOL,SALINAS,"Anconcito sector las terrazas via Ancon, Salinas","INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","Provincia de Santa elena cantones: Salinas, La Libertad, Santa Elena, fuera de la zona urbana parroquias como con costo de movilización anconcito,  Ancon, Atahualpa, Colonche, manantial de guangala, y alrededores,Manglaralto, chanduy; comunas; el tambo, prosperidad, monteverde, jambeli, palmar, valdivia, san pedro, Barcelona,  sinchal, . Ayangue, libertador bolívar,  cadete, río chico,  montañita, Olon, curia , san José, la entrada, san antonio, san Vicente, rio verde, el azúcar, zapotal, sam Rafael,  buenos aires, CANTON VILLAMIL PLAYAS DE LA PROVINCIAS DEL GUAYAS BAJO RUTA, ESPECÍFICAMENTE DENTRO DE LA ZONA URBANA Y  HACIA VIA DATA Y LA PARROQUIA  POSORJA Y ENGABAO y san Antonio..NO CUBRIMOS NO VAMOS A ; EL MORRO, bajada de chanduy, cerecita, simón bolívar y comuna las juntas y los alrededores se considera muy peligrosos","r_ms_76@hotmail.com ( coordinación general ), rolandomanzaba@gmail.com ( gerencia)",0992048071 ( Rolando ) 0997249707 ( coordinación generale ),-2.203173466600425,-80.94806886656531
SILVER ELECTRONICS,SANTO DOMINGO,Calle PedroVicente Maldonado #111 entre Av Chone y Antonio Jose de Sucre,"TVS, LINEA BLANCA, DISPENSADORES DE AGUA","SANTO DOMINGO, La Concordia, Quininde, Luz de America, Patricia Pilar, Puerto Quito","silverelectronics2018@gmail.com, bryanhenry1992@gmail.com",0991090553,-0.2595185905583975,-79.16373212062115
Silver Electronics,SANTO DOMINGO,Calle Pedro Vicente Maldonado #111 entre Av Chone y Antonio Jose de Sucre,"TVS, LINEA BLANCA",Patricia Pilar; Luz de America; El Carmen; Nuevo Israel; Puerto Limon; La Concordia; Quininde; Esmeraldas,silverelectronics2018@gmail.com,0991090553 solo mensajes de whatsapp,-0.2601729019475882,-79.17553315313846
ELECTRONICA CENTRAL,SANTO DOMINGO,URB. SANTA ROSA CALLE SEPTIMA Y PEDRO VICENTE MALDONADO,"TVS, INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA, CALEFONES",SANTO DOMINGO,servicioalcliente@electronicacentralsd.com,0980408782   0999415587,-0.2621570758219889,-79.18596896353128
SERVIELEC,SANTO DOMINGO,AV TSAFIQUI E IBARRA ESQUINA,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA","PEDERNALES, EL CARMEN, FLAVIO ALFARO, COJIMIES, JAMA, MUISNE, CHAMANGA, TONSUPA, TONCHIGUE, ATACAMES, ESMERALDAS, SAN LORENZO, BORBÓN, VICHE, QUININDE, LA UNIÓN, LA CONCORDIA, ALLURIQUIN, PUERTO QUITO, PEDRO VICENTE MALDONADO, SAN MIGUEL DE LOS BANCOS, MINDO, LAS MERCEDES,PUERTO LIMÓN, SAN JACINTO DEL BUA, LUZ DE AMÉRICA, PARROQUIAS RIO VERDE, ZARACAY, VALLE HERMOSO, EL ESFUERZO, CHIGUILPE, RÍOTOACHI.",servielecstodomingo@gmail.com,0982553943,-0.2523365013254897,-79.1657795167308
CSERVICE,AMBATO,AMBATO ISIDRO VITERI Y TRES CARABELAS ESQUINA,"TVS, LINEA BLANCA, DISPENSADORES DE AGUA, LINEA MENOR","LINEA BLANCA: TUNGURAHUA, COTOPAXI, CHIMBORAZO, PASTAZA, NAPO ZONA URBANA PARA ZONA RURAL PREVIA AOTORIZACION DE MOVILIZACION.",alci_mantilla@hotmail.com,0989980196 - 0998635126,-1.2451444682746262,-78.6168871949362
FRIOCARD,BABAHOYO,El salto,"INSTALACION DE AIRES, LINEA BLANCA, DISPENSADORES DE AGUA,",5km a la redonda,miguelitob49@gmail.com,0990045400,-1.8098337521014125,-79.52653495701335
